blue,green,red,nir,swir16,swir22,coastal,NDVI,EVI,SAVI,ARVI,GNDVI,RDVI,NDWI,MNDWI,AWEInsh,AWEIsh,BSI,NDBI,UI,NBR,ClayMinerals,TurbidityIndex,ChlorophyllIndex,NIR_Red_Ratio,NDMI,cloud_cover,data_quality,Latitude,Longitude,Sample Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.760833,17.730278,02-01-2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.861111,28.884722,03-01-2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.45,28.085833,03-01-2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.671111,27.236944,03-01-2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.356667,27.286389,03-01-2011
9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,,0.0736119506087554,0.6337818749535257,0.11041554236373448,0.013056851282260147,0.08746228189093416,11.20305207467715,-0.08746228189093416,0.04267226302903092,-23154.0,275.375,-0.03491701417352761,-0.1296506609730608,-0.186119723348437,0.186119723348437,1.1228388911680245,0.7922430321595355,0.1589224961551008,1.1589224961550901,0.1296506609730608,2.0,good,-27.01011111,26.69808333,04-01-2011
4984.0,5189.5,5122.0,7814.0,6664.0,5222.0,,0.20810142238713505,5.766923736074912,0.31214006879758827,0.19534954872265417,0.20183027646402737,23.668735265454462,-0.20183027646402737,-0.12439363900957418,-22212.0,-5064.75,-0.041164985356329155,-0.07943086061610664,-0.19883399815894293,0.19883399815894293,1.2761394101876675,0.8417354913236753,0.5255759468957439,1.525575946895714,0.07943086061610664,0.0,good,-25.127778,27.628889,04-01-2011
10039.0,10466.5,9985.0,14137.5,10315.5,8536.0,,0.17214219090061075,-8.345056270097134,0.2582079343365253,0.17477200490267292,0.14920338156397275,26.736126266061547,-0.14920338156397275,0.007265903185448912,-26404.375,-2608.25,-0.08714616543381953,-0.1562998405103662,-0.24705052153394824,0.24705052153394824,1.2084700093720713,0.6960881762338627,0.4158738107160742,1.41587381071606,0.1562998405103662,0.0,good,-25.20639,27.558,04-01-2011
9921.0,10647.0,10524.0,15543.0,11919.5,9642.5,,0.1925422948555638,2.931316434995843,0.2888079025606598,0.16557930258717599,0.18694158075601305,31.086488670804787,-0.18694158075601305,-0.056388895043537744,-35492.625,-7065.875,-0.06304858320722212,-0.13194355939918023,-0.23428163030314972,0.23428163030314972,1.2361420793362716,0.7580132136722043,0.47690992018244005,1.476909920182426,0.13194355939918023,0.0,good,-24.69514,27.40906,04-01-2011
9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,,0.14284521099997854,1.837397937258233,0.21426334252067153,0.10373477454222754,0.14550020929259044,22.1043444649559,-0.14550020929259044,-0.15709065383900672,-51227.625,-9572.875,0.024846425027970645,0.01186156095975731,-0.07176846104137674,0.07176846104137674,1.1823551748871355,1.029575879491844,0.3333008526187575,1.3333008526187446,-0.01186156095975731,2.0,good,-26.98472222,26.63227778,04-01-2011
